date,"boat 1=pt3,2=jenglo",start,end,triptypeid,price per head,first,last,phone,qty,total,deposit,totaldue
5/1/2016,1,7:00:00,15:00:00,1,100,,,,,0,100,-100
5/2/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/3/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/4/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/5/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/6/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/7/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/8/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/9/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/10/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/11/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/12/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/13/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/14/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/15/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/16/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/17/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/18/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/19/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/20/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/21/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/22/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/23/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/24/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/25/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/26/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/27/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/28/2016,1,7:00:00,15:00:00,1,100,,,,,,100,-100
5/29/2016,1,7:00:00,15:00:00,1,100,,,,,,,-2800
5/30/2016,1,7:00:00,15:00:00,1,100,,,,,,,
5/31/2016,1,7:00:00,15:00:00,1,100,,,,,,,
5/20/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/21/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/22/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/23/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/24/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/25/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/26/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/27/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/28/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/29/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/30/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/31/2016,1,16:00:00,22:00:00,3,125,,,,,,,
5/4/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/5/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/6/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/7/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/8/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/11/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/12/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/13/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/14/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/15/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/18/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/19/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/20/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/21/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/22/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/25/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/26/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/27/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/28/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/29/2016,2,6:00:00,14:00:00,2,125,,,,,,,
5/27/2016,2,15:00:00,21:00:00,4,125,,,,,,,
5/28/2016,2,15:00:00,21:00:00,4,125,,,,,,,
6/1/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/2/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/3/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/4/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/5/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/6/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/7/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/8/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/9/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/10/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/11/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/12/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/13/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/14/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/15/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/16/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/17/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/18/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/19/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/20/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/21/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/22/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/23/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/24/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/25/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/26/2016,1,7:00:00,15:00:00,1,100,,,,,,,
6/27/2016,1,7:00:00,15:00:00,1,100,,,,,,,
